United States COVID-19 Hospitalizations by County
Date generated: Mon May 22 2023 19:17:51 GMT-0400 (Eastern Daylight Time)
County,State,New hospital admissions of confirmed COVID-19 past week (total),New COVID-19 hospital admissions per 100000 population past week (total),COVID-19 hospital admissions level,% Change in new hospital admissions of confirmed COVID-19 from the prior week,% Staffed inpatient beds occupied by patients with confirmed COVID-19 past week (average),Absolute change % staffed inpatient beds occupied by patients with confirmed COVID-19 from prior week,% Staffed ICU beds occupied by patients with confirmed COVID-19 past week (average),Absolute change % staffed ICU beds occupied by patients with confirmed COVID-19 from prior week
Imperial County,CA,80,2.3,Low (<10.0),-27.3,1.6,-0.1,1.3,0
Inyo County,CA,0,0,Low (<10.0),-100,0.1,-0.4,0,0
Kern County,CA,11,1.2,Low (<10.0),37.5,1.3,-0.2,3,0.5
Kings County,CA,65,5,Low (<10.0),4.8,3.3,-0.3,3.1,-0.2
Lake County,CA,25,3.8,Low (<10.0),4.2,2.3,-0.7,3.4,-0.9
Lassen County,CA,3,6.1,Low (<10.0),200,1.3,0.4,N/A,N/A
Los Angeles County,CA,275,2.7,Low (<10.0),-3.5,1.5,0,1.1,-0.2
Madera County,CA,65,5,Low (<10.0),4.8,3.3,-0.3,3.1,-0.2
Marin County,CA,45,6,Low (<10.0),66.7,2.6,-0.1,3.1,0.3
Mariposa County,CA,48,5.3,Low (<10.0),-4,2.5,0.1,1.7,-1.6
Mendocino County,CA,1,1.2,Low (<10.0),0,0.9,-0.7,1.8,-2.8
Merced County,CA,48,5.3,Low (<10.0),-4,2.5,0.1,1.7,-1.6
Modoc County,CA,4,2,Low (<10.0),100,0.8,-0.1,2.2,0.3
Mono County,CA,0,0,Low (<10.0),-100,0.1,-0.4,0,0
Monterey County,CA,130,5.4,Low (<10.0),26.2,2.9,-0.2,3,-0.1
Napa County,CA,25,3.8,Low (<10.0),4.2,2.3,-0.7,3.4,-0.9
Nevada County,CA,4,3.9,Low (<10.0),-33.3,5.8,-0.4,4.5,0.1
Orange County,CA,91,2.9,Low (<10.0),16.7,1.4,0,1.4,-0.6
Placer County,CA,153,6.5,Low (<10.0),-4.4,3.1,-0.4,2,-0.2
Plumas County,CA,3,6.1,Low (<10.0),200,1.3,0.4,N/A,N/A
Riverside County,CA,88,1.9,Low (<10.0),8.6,1.3,-0.2,1.4,-0.4
Sacramento County,CA,153,6.5,Low (<10.0),-4.4,3.1,-0.4,2,-0.2
San Benito County,CA,130,5.4,Low (<10.0),26.2,2.9,-0.2,3,-0.1
San Bernardino County,CA,88,1.9,Low (<10.0),8.6,1.3,-0.2,1.4,-0.4
San Diego County,CA,80,2.3,Low (<10.0),-27.3,1.6,-0.1,1.3,0
San Francisco County,CA,65,3.9,Low (<10.0),-4.4,2.2,-0.2,1.7,0
San Joaquin County,CA,28,3.3,Low (<10.0),-6.7,1.5,-0.4,0.4,-0.3
San Luis Obispo County,CA,17,2.3,Low (<10.0),30.8,1.6,-0.5,1.2,-0.8
San Mateo County,CA,65,3.9,Low (<10.0),-4.4,2.2,-0.2,1.7,0
Santa Barbara County,CA,17,2.3,Low (<10.0),30.8,1.6,-0.5,1.2,-0.8
Santa Clara County,CA,130,5.4,Low (<10.0),26.2,2.9,-0.2,3,-0.1
Santa Cruz County,CA,5,1.8,Low (<10.0),-28.6,3.7,-1.3,0.6,-3
Shasta County,CA,4,2,Low (<10.0),100,0.8,-0.1,2.2,0.3
Sierra County,CA,4,3.9,Low (<10.0),-33.3,5.8,-0.4,4.5,0.1
Siskiyou County,CA,3,0.9,Low (<10.0),-78.6,0.9,-0.5,1.3,0
Solano County,CA,25,3.8,Low (<10.0),4.2,2.3,-0.7,3.4,-0.9
Sonoma County,CA,45,6,Low (<10.0),66.7,2.6,-0.1,3.1,0.3
Stanislaus County,CA,48,5.3,Low (<10.0),-4,2.5,0.1,1.7,-1.6
Sutter County,CA,2,1,Low (<10.0),-60,1.4,0.2,5.1,4.4
Tehama County,CA,8,2.6,Low (<10.0),-46.7,2.8,-0.7,0,-0.1
Trinity County,CA,4,2,Low (<10.0),100,0.8,-0.1,2.2,0.3
Tulare County,CA,10,2.1,Low (<10.0),-9.1,2.1,-0.2,0,0
Tuolumne County,CA,48,5.3,Low (<10.0),-4,2.5,0.1,1.7,-1.6
Ventura County,CA,22,2.6,Low (<10.0),0,1.1,-0.3,0.4,-0.5
Yolo County,CA,153,6.5,Low (<10.0),-4.4,3.1,-0.4,2,-0.2
Yuba County,CA,2,1,Low (<10.0),-60,1.4,0.2,5.1,4.4
Adams County,CO,61,2.1,Low (<10.0),-33.7,1,0,1.9,-0.5
Alamosa County,CO,1,2.1,Low (<10.0),-75,2.2,0.7,5.1,5.1
Arapahoe County,CO,61,2.1,Low (<10.0),-33.7,1,0,1.9,-0.5
Archuleta County,CO,20,5.7,Low (<10.0),-4.8,2.2,0.2,4.6,0.2
Baca County,CO,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Bent County,CO,3,6.9,Low (<10.0),N/A,0.4,0.4,0,0
Boulder County,CO,18,4.5,Low (<10.0),-21.7,1.6,0.2,2.2,-0.2
Broomfield County,CO,18,4.5,Low (<10.0),-21.7,1.6,0.2,2.2,-0.2
Chaffee County,CO,1,3.5,Low (<10.0),N/A,0.2,0.2,0,0
Cheyenne County,CO,13,1.7,Low (<10.0),8.3,0.6,-0.4,0.1,-0.5
Clear Creek County,CO,61,2.1,Low (<10.0),-33.7,1,0,1.9,-0.5
Conejos County,CO,1,2.1,Low (<10.0),-75,2.2,0.7,5.1,5.1
Costilla County,CO,1,2.1,Low (<10.0),-75,2.2,0.7,5.1,5.1
Crowley County,CO,3,6.9,Low (<10.0),N/A,0.4,0.4,0,0
Custer County,CO,0,0,Low (<10.0),N/A,0,-0.3,0,0
Delta County,CO,1,0.9,Low (<10.0),-50,0.2,-0.6,0.6,-0.1
Denver County,CO,61,2.1,Low (<10.0),-33.7,1,0,1.9,-0.5
Dolores County,CO,20,5.7,Low (<10.0),-4.8,2.2,0.2,4.6,0.2
Douglas County,CO,61,2.1,Low (<10.0),-33.7,1,0,1.9,-0.5
Eagle County,CO,15,4.9,Low (<10.0),66.7,0.5,-0.1,0.2,0.2
El Paso County,CO,13,1.7,Low (<10.0),8.3,0.6,-0.4,0.1,-0.5
Elbert County,CO,61,2.1,Low (<10.0),-33.7,1,0,1.9,-0.5
Fremont County,CO,0,0,Low (<10.0),N/A,0,-0.3,0,0
Garfield County,CO,15,4.9,Low (<10.0),66.7,0.5,-0.1,0.2,0.2
Gilpin County,CO,61,2.1,Low (<10.0),-33.7,1,0,1.9,-0.5
Grand County,CO,61,2.1,Low (<10.0),-33.7,1,0,1.9,-0.5
Gunnison County,CO,1,0.9,Low (<10.0),-50,0.2,-0.6,0.6,-0.1
Hinsdale County,CO,1,0.9,Low (<10.0),-50,0.2,-0.6,0.6,-0.1
Huerfano County,CO,2,1,Low (<10.0),-75,0.9,-0.1,0.7,-1.1
Jackson County,CO,0,0,Low (<10.0),N/A,0,-0.9,0,0
Jefferson County,CO,61,2.1,Low (<10.0),-33.7,1,0,1.9,-0.5
Kiowa County,CO,3,6.9,Low (<10.0),N/A,0.4,0.4,0,0
Kit Carson County,CO,13,1.7,Low (<10.0),8.3,0.6,-0.4,0.1,-0.5
La Plata County,CO,20,5.7,Low (<10.0),-4.8,2.2,0.2,4.6,0.2
Lake County,CO,1,3.5,Low (<10.0),N/A,0.2,0.2,0,0
